exchange,board,security_type,code,name,listing_date,source_url,source_row_json,board_basis
SZSE,MAIN,A_SHARE,000016,<a href='http://www.szse.cn/certificate/individual/index.html?code=000016' target='_blank'><u>*ST康佳A</u></a>,1992-03-27,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000016"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000016' target='_blank'><u>*ST康佳A</u></a>"", ""agltgb"": ""15.96"", ""agssrq"": ""1992-03-27"", ""agzgb"": ""15.96"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""C 制造业"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000017,<a href='http://www.szse.cn/certificate/individual/index.html?code=000017' target='_blank'><u>深中华A</u></a>,1992-03-31,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000017"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000017' target='_blank'><u>深中华A</u></a>"", ""agltgb"": ""4.40"", ""agssrq"": ""1992-03-31"", ""agzgb"": ""4.40"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""C 制造业"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000019,<a href='http://www.szse.cn/certificate/individual/index.html?code=000019' target='_blank'><u>深粮控股</u></a>,1992-10-12,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000019"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000019' target='_blank'><u>深粮控股</u></a>"", ""agltgb"": ""4.16"", ""agssrq"": ""1992-10-12"", ""agzgb"": ""11.00"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""F 批发零售"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000020,<a href='http://www.szse.cn/certificate/individual/index.html?code=000020' target='_blank'><u>深华发Ａ</u></a>,1992-04-28,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000020"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000020' target='_blank'><u>深华发Ａ</u></a>"", ""agltgb"": ""1.81"", ""agssrq"": ""1992-04-28"", ""agzgb"": ""1.81"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""C 制造业"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000021,<a href='http://www.szse.cn/certificate/individual/index.html?code=000021' target='_blank'><u>深科技</u></a>,1994-02-02,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000021"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000021' target='_blank'><u>深科技</u></a>"", ""agltgb"": ""15.84"", ""agssrq"": ""1994-02-02"", ""agzgb"": ""15.84"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""C 制造业"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000025,<a href='http://www.szse.cn/certificate/individual/index.html?code=000025' target='_blank'><u>特  力Ａ</u></a>,1993-06-21,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000025"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000025' target='_blank'><u>特  力Ａ</u></a>"", ""agltgb"": ""3.92"", ""agssrq"": ""1993-06-21"", ""agzgb"": ""3.92"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""F 批发零售"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000026,<a href='http://www.szse.cn/certificate/individual/index.html?code=000026' target='_blank'><u>飞亚达</u></a>,1993-06-03,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000026"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000026' target='_blank'><u>飞亚达</u></a>"", ""agltgb"": ""3.64"", ""agssrq"": ""1993-06-03"", ""agzgb"": ""3.65"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""F 批发零售"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000027,<a href='http://www.szse.cn/certificate/individual/index.html?code=000027' target='_blank'><u>深圳能源</u></a>,1993-09-03,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000027"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000027' target='_blank'><u>深圳能源</u></a>"", ""agltgb"": ""47.57"", ""agssrq"": ""1993-09-03"", ""agzgb"": ""47.57"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""D 水电煤气"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000028,<a href='http://www.szse.cn/certificate/individual/index.html?code=000028' target='_blank'><u>国药一致</u></a>,1993-08-09,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000028"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000028' target='_blank'><u>国药一致</u></a>"", ""agltgb"": ""5.25"", ""agssrq"": ""1993-08-09"", ""agzgb"": ""5.33"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""F 批发零售"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
SZSE,MAIN,A_SHARE,000029,<a href='http://www.szse.cn/certificate/individual/index.html?code=000029' target='_blank'><u>深深房Ａ</u></a>,1993-09-15,https://www.szse.cn/api/report/ShowReport/data?SHOWTYPE=JSON&CATALOGID=1110&TABKEY=tab1&PAGENO=1,"{""agdm"": ""000029"", ""agjc"": ""<a href='http://www.szse.cn/certificate/individual/index.html?code=000029' target='_blank'><u>深深房Ａ</u></a>"", ""agltgb"": ""8.91"", ""agssrq"": ""1993-09-15"", ""agzgb"": ""8.91"", ""bk"": ""主板"", ""gskzjglx"": ""-"", ""sfjybjqcy"": ""-"", ""sshymc"": ""K 房地产"", ""ylbz"": ""-""}",OFFICIAL_SZSE_BOARD_FIELD
