exchange,code,name,listed_from,listed_to_exclusive,list_evidence_class,delist_evidence_class
SZSE,002800,天顺股份,2016-05-30,,RETROSPECTIVE_PRIMARY,
SZSE,002801,微光股份,2016-06-22,,RETROSPECTIVE_PRIMARY,
SZSE,002802,洪汇新材,2016-06-29,,RETROSPECTIVE_PRIMARY,
SZSE,002803,吉宏股份,2016-07-12,,RETROSPECTIVE_PRIMARY,
SZSE,002805,丰元股份,2016-07-07,,RETROSPECTIVE_PRIMARY,
SZSE,002806,华锋股份,2016-07-26,,RETROSPECTIVE_PRIMARY,
SZSE,002807,江阴银行,2016-09-02,,RETROSPECTIVE_PRIMARY,
SZSE,002809,红墙股份,2016-08-23,,RETROSPECTIVE_PRIMARY,
SZSE,002810,山东赫达,2016-08-26,,RETROSPECTIVE_PRIMARY,
SZSE,002811,郑中设计,2016-09-08,,RETROSPECTIVE_PRIMARY,
SZSE,002812,恩捷股份,2016-09-14,,RETROSPECTIVE_PRIMARY,
SZSE,002813,路畅科技,2016-10-12,,RETROSPECTIVE_PRIMARY,
SZSE,002815,崇达技术,2016-10-12,,RETROSPECTIVE_PRIMARY,
SZSE,002816,*ST和科,2016-10-25,,RETROSPECTIVE_PRIMARY,
SZSE,002817,黄山胶囊,2016-10-25,,RETROSPECTIVE_PRIMARY,
SZSE,002818,富森美,2016-11-09,,RETROSPECTIVE_PRIMARY,
SZSE,002819,东方中科,2016-11-11,,RETROSPECTIVE_PRIMARY,
SZSE,002820,桂发祥,2016-11-18,,RETROSPECTIVE_PRIMARY,
SZSE,002821,凯莱英,2016-11-18,,RETROSPECTIVE_PRIMARY,
SZSE,002822,ST中装,2016-11-29,,RETROSPECTIVE_PRIMARY,
SZSE,002823,凯中精密,2016-11-24,,RETROSPECTIVE_PRIMARY,
SZSE,002824,和胜股份,2017-01-12,,RETROSPECTIVE_PRIMARY,
SZSE,002825,纳尔股份,2016-11-29,,RETROSPECTIVE_PRIMARY,
SZSE,002826,易明医药,2016-12-09,,RETROSPECTIVE_PRIMARY,
SZSE,002827,高争民爆,2016-12-09,,RETROSPECTIVE_PRIMARY,
